Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
154,nickelodeonjuniorfr,http://youtube.com/channel/UCUe6ZpY6TJ0no8jI4l2iLxw,Nick Jr.,AnimationToys,25000000,,87400,285,
155,beyonce,http://youtube.com/channel/UCuHzBCaKmtaLcRAOoazhCPA,Beyoncé,Music & Dance,24800000,United States,15400000,561700,57300
156,Jess No Limit,http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA,Jess No Limit,MoviesAnimation,24800000,Indonesia,329100,15100,1200
157,WatchMojo,http://youtube.com/channel/UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,Movies,24600000,United States,65200,2100,268
158,Las Ratitas,http://youtube.com/channel/UCUY6t_N9MyEWu6I0ZXkbtKA,Las Ratitas,,24600000,,0,,
159,Super JoJo - Nursery Rhymes & Kids Songs,http://youtube.com/channel/UCHN9P-CQVBQ1ba8o1NQJVCA,Super JoJo - Nursery Rhymes & Kids Songs,Animation,24400000,,556100,3200,
160,davidguettavevo,http://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,David Guetta,Music & Dance,24400000,Brazil,144500,7000,286
161,LOENENT,http://youtube.com/channel/UCweOkPb1wVVH0Q0Tlj4a5Pw,1theK (원더케이),,24200000,Indonesia,17600,1500,74
162,NewOnNetflix,http://youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,MoviesAnimation,24000000,United States,370700,12100,421
163,postmalone,http://youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,Music & Dance,24000000,United States,354800,15400,670
164,James Charles,http://youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q,James Charles,BeautyFashion,24000000,United States,787000,50300,1800
165,Chloe Ting,http://youtube.com/channel/UCCgLoMYIyP0U56dEhEL1wXQ,Chloe Ting,FitnessHealth & Self Help,24000000,United States,204200,6300,580
166,NinjasHyper,http://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,Ninja,AnimationVideo games,24000000,United States,184200,9800,645
